Selecting ALL deduped manifest records (no region filter/cap)...
Downloading 770552 images with 40 workers into /mnt/sdc1/astroloc/reference_db/astroloc_train/gape_queries...
  [58000/770552] {'fetched': 53185, 'skip_exists': 4814, 'failed': 1} rate=31.4/s eta=377.8min
  [59000/770552] {'fetched': 54062, 'skip_exists': 4937, 'failed': 1} rate=31.5/s eta=376.1min
  [60000/770552] {'fetched': 54986, 'skip_exists': 5013, 'failed': 1} rate=31.6/s eta=374.6min
  [61000/770552] {'fetched': 55882, 'skip_exists': 5117, 'failed': 1} rate=31.7/s eta=373.4min
  [62000/770552] {'fetched': 56799, 'skip_exists': 5200, 'failed': 1} rate=31.7/s eta=372.9min
  [63000/770552] {'fetched': 57612, 'skip_exists': 5387, 'failed': 1} rate=31.7/s eta=371.7min
  [64000/770552] {'fetched': 58548, 'skip_exists': 5451, 'failed': 1} rate=31.7/s eta=371.8min
  [65000/770552] {'fetched': 59503, 'skip_exists': 5496, 'failed': 1} rate=31.6/s eta=372.5min
  [66000/770552] {'fetched': 60402, 'skip_exists': 5597, 'failed': 1} rate=31.6/s eta=372.0min
  [67000/770552] {'fetched': 61337, 'skip_exists': 5662, 'failed': 1} rate=31.4/s eta=372.9min
  [68000/770552] {'fetched': 62309, 'skip_exists': 5690, 'failed': 1} rate=31.4/s eta=373.3min
  [69000/770552] {'fetched': 63244, 'skip_exists': 5755, 'failed': 1} rate=31.2/s eta=374.7min
  [70000/770552] {'fetched': 64224, 'skip_exists': 5775, 'failed': 1} rate=31.1/s eta=375.6min
  [71000/770552] {'fetched': 65108, 'skip_exists': 5891, 'failed': 1} rate=31.1/s eta=374.8min
  [72000/770552] {'fetched': 66061, 'skip_exists': 5938, 'failed': 1} rate=31.0/s eta=375.0min
  [73000/770552] {'fetched': 66935, 'skip_exists': 6064, 'failed': 1} rate=31.0/s eta=375.4min
  [74000/770552] {'fetched': 67889, 'skip_exists': 6110, 'failed': 1} rate=30.9/s eta=375.8min
  [75000/770552] {'fetched': 68791, 'skip_exists': 6208, 'failed': 1} rate=30.8/s eta=376.9min
  [76000/770552] {'fetched': 69620, 'skip_exists': 6379, 'failed': 1} rate=30.7/s eta=376.6min
  [77000/770552] {'fetched': 70572, 'skip_exists': 6427, 'failed': 1} rate=30.6/s eta=377.6min
  [78000/770552] {'fetched': 71488, 'skip_exists': 6511, 'failed': 1} rate=30.5/s eta=378.6min
  [79000/770552] {'fetched': 72411, 'skip_exists': 6588, 'failed': 1} rate=30.4/s eta=379.5min
  [80000/770552] {'fetched': 73330, 'skip_exists': 6669, 'failed': 1} rate=30.3/s eta=380.2min
  [81000/770552] {'fetched': 74288, 'skip_exists': 6711, 'failed': 1} rate=30.2/s eta=381.0min
  [82000/770552] {'fetched': 75230, 'skip_exists': 6769, 'failed': 1} rate=30.0/s eta=382.6min
  [83000/770552] {'fetched': 76051, 'skip_exists': 6948, 'failed': 1} rate=29.9/s eta=383.1min
  [84000/770552] {'fetched': 76966, 'skip_exists': 7033, 'failed': 1} rate=29.8/s eta=383.9min
  [85000/770552] {'fetched': 77837, 'skip_exists': 7162, 'failed': 1} rate=29.7/s eta=384.5min
  [86000/770552] {'fetched': 78691, 'skip_exists': 7308, 'failed': 1} rate=29.7/s eta=384.7min
